"REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","TOTALBTU"
27,11655.00162,23,5,5,"U",1,4748,22812,938,0,0,0,0,173980
27,12552.83853,5,1,0,"U",1,6748,6024,35,26,0,0,0,26526
27,8815.12031,7,3,3,"U",2,4795,12952,0,0,0,0,0,44192
27,8724.990934,19,2,3,"R",1,5778,16713,0,0,0,0,80000,57025
27,8236.299166,8,2,2,"U",1,5371,10428,25,0,0,0,0,38143
27,10512.33266,23,3,3,"U",1,5709,9087,988,0,0,0,0,132275
27,7136.883223,23,4,3,"U",1,12525,10351,1630,0,0,0,0,202393
27,12789.87939,24,4,4,"U",1,4685,9515,806,0,0,0,0,115080
27,7951.520605,17,6,3,"R",1,49,11738,0,0,0,0,0,40050
27,13757.85901,4,1,NA,"U",2,4785,21775,0,0,0,0,10000,74296
27,11636.38922,18,1,1,"U",1,0,3499,0,78,0,0,0,19090
27,7942.960618,14,2,2,"U",1,4691,3005,285,0,0,0,0,39466
27,12367.40596,14,1,1,"U",2,4635,4142,0,0,0,0,0,14133
27,11654.99991,23,3,4,"R",1,5667,20384,595,0,0,0,10000,130538
27,5325.570923,14,4,2,"U",2,4794,14457,0,0,0,0,0,49327
27,7951.519832,12,2,4,"U",1,18,8803,0,0,0,0,0,30036
27,15692.90815,4,2,2,"U",2,4700,15003,0,0,0,0,0,51190
27,9131.568004,9,4,3,"U",2,6191,11115,503,0,0,0,0,89482
27,9232.784198,1,1,2,"U",2,784,2428,213,0,0,0,0,30117
27,9008.73088,11,2,2,"U",2,0,2523,203,0,0,0,0,29416
27,10651.14205,14,6,3,"U",2,4938,14547,0,0,0,0,0,49634
27,5211.538743,20,3,3,"U",1,4802,8267,809,0,0,0,0,111130
27,14613.94263,6,3,3,"U",2,5041,3899,415,0,0,0,0,55841
27,9695.101689,14,4,3,"U",1,10272,5616,1042,0,0,0,0,125967
27,12367.40845,11,1,2,"U",2,4744,8875,0,0,0,0,0,30282
27,7136.882777,17,6,4,"U",1,11642,10557,1456,0,0,0,0,185260
27,14531.59256,8,5,2,"U",1,5732,22432,0,0,0,0,0,76538
27,10588.35991,24,2,3,"U",1,4698,7130,301,0,0,0,0,55181
27,10651.14179,13,2,2,"U",2,4710,12394,0,0,0,0,0,42288
27,9263.263202,12,4,3,"R",1,4819,25292,0,0,0,0,0,86296
27,7951.522023,9,2,4,"U",1,0,12503,0,0,0,0,0,42660
27,10235.53984,5,1,3,"U",2,4941,12403,0,0,0,0,0,42319
27,9901.476435,23,2,2,"U",1,5945,14615,0,0,0,0,80000,49866
27,8995.31427,1,3,3,"U",1,4442,31834,0,0,500,0,0,177963
27,10423.07973,20,5,5,"U",1,4752,8104,1044,0,0,0,0,134661
27,13851.28339,6,2,3,"U",2,4631,13540,0,0,0,0,40000,46198
27,11654.99928,24,3,5,"U",1,4682,14484,945,0,0,0,10000,146282
27,7951.522023,11,2,4,"U",1,13,8419,0,0,0,0,0,28726
27,10651.14115,12,2,1,"U",2,4730,6413,0,0,0,0,0,21881
27,8236.300068,17,3,3,"U",1,5155,15763,0,0,0,0,0,53783
27,12367.40649,10,1,NA,"U",2,4806,6160,0,0,0,0,10000,21018
27,13181.17581,11,3,2,"U",2,4638,7147,0,0,0,0,0,24386
27,12921.64528,3,1,NA,"U",2,5740,7259,178,0,0,0,0,43013
27,9263.26711,16,4,3,"R",1,5068,21836,0,0,0,0,0,74504
27,9263.263781,5,4,2,"U",2,5064,12500,0,0,0,0,0,42650
27,11739.08267,9,1,NA,"U",2,4478,7888,0,0,0,0,0,26914
27,11635.65245,12,6,3,"U",2,6488,12609,317,0,0,0,0,75515
27,13757.85901,23,1,2,"U",2,4723,15000,0,0,0,0,0,51180
27,7942.958043,22,4,4,"U",1,4804,15472,999,0,0,0,0,155188
27,8640.829386,11,2,2,"U",1,6431,22081,0,0,0,0,0,75340
27,15810.32471,11,4,4,"U",1,7039,43684,0,0,0,0,20000,149050
27,8640.827564,7,3,3,"U",1,6386,23867,0,0,0,0,0,81434
27,7136.881787,24,2,3,"U",1,9703,9263,2277,0,0,0,0,264998
27,8815.118789,8,2,2,"U",2,5028,2577,0,0,0,0,0,8793
27,8236.298534,18,2,3,"U",1,5001,18990,0,0,0,0,10000,64794
27,9008.73187,8,2,NA,"U",2,14,4440,0,0,0,0,0,15149
27,13046.40491,10,2,4,"R",1,8663,14689,0,0,0,0,80000,50119
27,9008.73187,6,2,NA,"U",2,9,3474,0,110,0,0,0,21967
27,9718.234566,22,3,3,"R",1,5842,19605,0,0,0,0,0,66892
27,5211.538743,24,2,3,"U",1,4783,4083,593,0,0,0,0,74714
27,8815.118601,10,2,2,"U",2,5017,10112,0,0,0,0,0,34502
27,15305.11455,4,1,1,"U",2,5068,9337,0,0,0,0,0,31858
27,10865.60846,21,4,4,"R",1,5099,10628,0,799,0,0,0,109236
27,17649.62328,9,5,2,"U",2,5077,5662,0,0,0,0,0,19319
27,11636.38839,15,1,NA,"U",2,56,1542,76,0,0,0,0,13051
27,17831.41036,8,1,2,"U",1,4983,2890,688,0,0,0,0,80381
27,10460.34694,1,1,2,"U",2,0,6957,0,132,0,0,0,35753
27,15054.52074,17,1,3,"U",1,5781,4195,472,0,0,0,10000,62693
27,10270.16096,15,5,4,"R",1,6310,8589,620,0,0,0,0,92856
27,12102.54009,12,2,3,"U",1,3942,11289,0,0,0,0,0,38518
27,16873.12954,9,1,2,"U",1,5957,16066,0,0,0,0,0,54817
27,8236.298141,20,2,3,"U",1,4955,20440,0,0,0,0,0,69741
27,9131.56616,16,2,3,"U",1,7212,6031,782,0,0,0,0,100733
27,13069.73173,19,3,2,"U",2,4028,17445,0,0,0,0,10000,59522
27,13046.40491,12,2,2,"R",1,8803,26008,0,0,296,0,160000,129809
27,9535.680009,10,1,1,"U",2,4702,3642,0,0,0,0,0,12427
27,12616.4299,8,1,3,"U",1,5089,12709,0,279,0,0,0,68844
27,10602.97601,16,1,2,"U",1,4772,5797,607,0,0,0,0,81997
27,7951.522023,18,2,3,"U",1,25,7261,0,0,0,0,0,24775
27,10123.96781,6,1,NA,"U",2,4945,10405,0,0,0,0,0,35502
27,12367.40845,5,1,1,"U",2,4766,3428,0,0,0,0,0,11696
