"","cx","cy","REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","wKWH"
"5319",611.813333333333,-22.2924670646372,27,9263.264747,18,2,4,"R",1,5328,22943,0,0,0,0,0,212527083.090421
"5382",790.746666666667,-15.7082442628939,27,6276.51414,8,2,2,"U",2,5140,29653,0,0,0,0,0,186117473.79342
"5390",800,-48.3444230486445,27,11269.88534,6,1,5,"R",1,5091,40473,0,0,0,0,120000,456126069.36582
"5418",202.053333333333,-5.62798396361518,27,11654.99998,6,2,3,"U",1,4678,7577,612,0,0,0,0,88309934.84846
"5468",300.533333333333,-0.982315862207908,27,8946.37009,16,2,2,"U",1,4599,11270,0,0,0,27,0,100825590.9143
"5472",34.08,36.9541126924722,27,14531.59505,5,2,1,"U",1,4703,1278,0,121,0,0,0,18571378.4739
"5537",511.813333333333,9.64744350950173,27,9263.2658,15,3,3,"U",1,4943,19193,0,0,0,0,0,177789860.4994
"5620",69.9466666666667,-7.10634674784752,27,12012.71375,3,1,1,"U",2,6454,2623,486,0,0,0,0,31509348.16625
"5639",216.826666666667,-29.9961719752111,27,11437.68785,7,1,2,"U",1,4786,8131,0,0,0,0,40000,92999839.90835
"5676",696.213333333333,4.14105630836069,27,6276.513079,21,3,2,"U",2,4938,26108,0,0,0,0,0,163867203.466532
"5729",337.12,73.8296088980983,27,8236.299166,24,3,2,"U",2,5087,12642,0,0,0,0,0,104123294.056572
"5744",533.093333333333,-49.024768034194,27,9263.263781,7,3,4,"U",1,5024,19991,0,0,0,0,0,185181906.245971
"5755",281.92,-10.268245183843,27,10651.14449,23,2,2,"U",2,4760,10572,0,0,0,0,10000,112603899.54828
"5780",145.253333333333,-43.333202305969,27,12294.50856,20,1,3,"U",1,4175,5447,595,0,0,0,0,66968188.12632
"5798",258.24,-13.3487449052456,27,5211.538743,12,5,4,"U",2,4733,9684,1047,0,0,0,0,50468541.187212
"5802",174.213333333333,24.2126721494194,27,9131.566265,13,5,3,"U",1,4947,6533,578,0,0,0,0,59656522.409245
