"","cx","cy","MONEYPY","BEDROOMS","UR","KOWNRENT","wKWH","NWEIGHT","income_group_level"
"172",543.534766321043,13.9747568731444,"$35,000 to $39,999",3,"Urban","Rent",20382.5537370391,18346.703092,"10"
"173",162.32,-27.4765409827232,"$40,000 to $44,999",3,"Urban","Rent",6087,7951.518624,"11"
"174",264.132762607272,-10.5631136157234,"$45,000 to $49,999",3,"Urban","Rent",9904.9785977727,19265.873514,"12"
"175",387.92,28.5307719084279,"$55,000 to $59,999",3,"Urban","Rent",14547,10651.14205,"14"
"176",288.043209649444,-11.9899673238202,"$60,000 to $64,999",3,"Urban","Rent",10801.6203618541,35503.204075,"15"
"177",311.813333333333,-34.8043967917146,"$7,500 to $9,999",3,"Urban","Rent",11693,9563.44727,"4"
"178",283.413333333333,-32.8358707419368,"$70,000 to $74,999",3,"Urban","Rent",10628,11535.94742,"17"
"179",241.106386746327,-28.6144139302694,"$75,000 to $79,999",3,"Urban","Rent",9041.48950298725,15088.405794,"18"
"180",258.24,32.804280901299,"$45,000 to $49,999",4,"Urban","Rent",9684,5211.538743,"12"
"181",412.586666666667,23.1174065172672,"$70,000 to $74,999",4,"Urban","Rent",15472,10512.33177,"17"
"182",260.773333333333,28.4005351999344,"$75,000 to $79,999",4,"Urban","Rent",9779,7826.429446,"18"
"183",428.906666666667,28.3983883708715,"Less than $2,500",4,"Urban","Rent",16084,7837.836823,"1"
"184",448.693333333333,-25.5441199243069,"$35,000 to $39,999",5,"Urban","Rent",16826,9131.564208,"10"
"185",118.133333333333,23.3177261203527,"$40,000 to $44,999",5,"Urban","Rent",4430,10270.81022,"11"
"186",485.813333333333,27.4313727766275,"$120,000 or More",7,"Urban","Rent",18218,7951.518624,"24"
