"","cx_salesTaxSavings","cy_salesTaxSavings","cx_wfr","cy_wfr","cx_gasTaxes","cy_gasTaxes","cx_fuelOilTaxes","cy_fuelOilTaxes","cx_natGasTaxes","cy_natGasTaxes","cx_elecTaxesWorst","cy_elecTaxesWorst","cx_elecTaxesAvg","cy_elecTaxesAvg","cx_elecTaxesBest","cy_elecTaxesBest","cx_homeEnergyWorst","cy_homeEnergyWorst","cx_homeEnergyAvg","cy_homeEnergyAvg","cx_homeEnergyBest","cy_homeEnergyBest","cx_netWorst","cy_netWorst","cx_netBest","cy_netBest","cx_netAvg","cy_netAvg","count","netAvg","netBest","netWorst","homeEnergyBest","homeEnergyAvg","homeEnergyWorst","elecTaxesBest","elecTaxesAvg","elecTaxesWorst","natGasTaxes","fuelOilTaxes","gasTaxes","wfr","salesTaxSavings","income_level_name","PUMA10","income_level_num"
"493",232.754759238522,-41.3031527468712,0,-61.2067892210451,0,-42.2538626030984,10.1047976637464,-2.32183550364681,16.5661276595745,-53.9225644194442,122.001519756839,-21.5335684689107,73.0832340425532,23.3852900395472,73.0832340425532,-33.142316751057,95.454103343465,0.323582200870987,70.9814641182834,-12.8589405915699,70.9814641182834,-25.6350784712788,186.142117405793,-54.7768018875037,178.930600750939,-66.2619144645567,178.930600750939,-25.1457716707554,47,237.31914893617,237.31914893617,237.31914893617,-101.936170212766,-101.936170212766,-101.936170212766,-12.531914893617,-12.531914893617,-12.531914893617,-83.7446808510638,-5.65957446808511,-315,0,654.255319148936,"200000 or more",11703,"10"
"494",28.8708133971292,33.20978536843,205.396363636364,-53.1979870077338,64.52,43.6143386341208,10.594081996435,-44.2455723175294,39.624,72.9218350217853,121.95974025974,-11.6015822667906,73.0414545454545,-1.19665030797296,73.0414545454545,22.9825941920106,118.959480519481,11.2248946545269,94.4868412942989,20.1630662845396,94.4868412942989,60.3768979054441,275.67991237678,-31.6976112570069,268.468395721925,-31.5822386082805,268.468395721925,-63.2355923680601,110,461.163636363636,461.163636363636,461.163636363636,-43.1727272727273,-43.1727272727273,-43.1727272727273,-12.6363636363636,-12.6363636363636,-12.6363636363636,-26.1,-4.43636363636364,-153.7,513.490909090909,144.545454545455,"25000 to 35000",11703,"2"
"495",40.7320208919245,-45.8754379089125,125.84427480916,-43.0986149308194,53.6458015267176,28.5462142833587,12.0968717257895,62.2324710456762,36.5617099236641,73.1183532221935,122.467720828789,-35.663805657105,73.5494351145038,40.1795972684896,73.5494351145038,14.889181420101,117.907960741548,-43.5559812662497,93.4353215163669,-17.8379323357031,93.4353215163669,-27.5473080068674,196.063312793157,-58.2688675648977,188.851796138303,-28.6252705508458,188.851796138303,-50.3591525552709,131,262.12213740458,262.12213740458,262.12213740458,-45.8015267175573,-45.8015267175573,-45.8015267175573,-11.3664122137405,-11.3664122137405,-11.3664122137405,-33.7557251908397,-0.679389312977099,-180.885496183206,314.610687022901,174.198473282443,"35000 to 45000",11703,"3"
"496",54.8173374613003,-55.6849562604615,52.9668449197861,-26.0036735201157,40.9176470588235,-69.5875953417453,11.2285204991087,62.7437136532734,35.6361925133689,-73.4852836398109,122.479526355997,-43.6461085959692,73.5612406417112,-29.9695262175147,73.5612406417112,-77.1639360588945,116.12589763178,-77.1969146981748,91.6532584065984,-23.7443317688336,91.6532584065984,-11.5244084037112,122.760981895496,-8.79097043044199,115.549465240642,-68.5387291779748,115.549465240642,-79.7684886887521,187,78.8663101604278,78.8663101604278,78.8663101604278,-50.2566844919786,-50.2566844919786,-50.2566844919786,-11.3368983957219,-11.3368983957219,-11.3368983957219,-36.0695187165775,-2.85026737967914,-212.705882352941,132.417112299465,209.411764705882,"45000 to 60000",11703,"4"
"497",70.1260779066309,74.9801660646195,29.6587570621469,4.6799822759433,34.9084745762711,41.9519427237973,12.068062479229,17.4940405463958,30.4391412429378,72.94640591373,122.200726392252,51.6035790478987,73.2824406779661,-22.7714694609846,73.2824406779661,59.511317032629,111.489588377724,32.8611581731236,87.0169491525424,-52.4084615678156,87.0169491525424,-31.5131223420201,104.116152746579,28.7782395016061,96.9046360917248,-66.1545202502776,96.9046360917248,49.3572503252038,177,32.2542372881356,32.2542372881356,32.2542372881356,-61.8474576271186,-61.8474576271186,-61.8474576271186,-12.0338983050847,-12.0338983050847,-12.0338983050847,-49.0621468926554,-0.751412429378531,-227.728813559322,74.1468926553672,247.683615819209,"60000 to 75000",11703,"5"
"498",85.5816638370118,14.3894130861087,14.214193548387,-17.1489324633799,24.818064516129,-23.9365574414971,12.0254016445288,43.8905004732394,27.1607741935484,15.8987482489675,122.203963133641,17.7020570347359,73.2856774193548,-14.2987090915145,73.2856774193548,-17.0290224768437,108.171797235023,-36.347905376133,83.6991580098414,79.3570909134222,83.6991580098414,-26.674355697728,90.7189739603575,1.07256386675903,83.5074573055028,-58.8870176769485,83.5074573055028,50.1964699019947,155,-1.23870967741935,-1.23870967741935,-1.23870967741935,-70.141935483871,-70.141935483871,-70.141935483871,-12.0258064516129,-12.0258064516129,-12.0258064516129,-57.258064516129,-0.858064516129032,-252.954838709677,35.5354838709677,286.322580645161,"75000 to 90000",11703,"6"
"499",104.282068808385,-16.7877346573892,0,44.0758717629055,14.4848484848485,-3.59943389437048,11.2915711739241,40.9335778536888,24.9765541125541,-79.0076220554396,122.406493506493,-18.1730444326913,73.4882077922078,-47.9085211647633,73.4882077922078,-60.6717682881247,105.456277056277,-5.03866342646582,80.9836378310955,-2.68831397295881,80.9836378310955,-4.51450898229169,82.1564491733166,-26.4984406292481,74.9449325184619,26.4281186982191,74.9449325184619,36.1995972751352,231,-22.6450216450216,-22.6450216450216,-22.6450216450216,-76.9307359307359,-76.9307359307359,-76.9307359307359,-11.5194805194805,-11.5194805194805,-11.5194805194805,-62.7186147186147,-2.69264069264069,-278.787878787879,0,333.073593073593,"90000 to 120000",11703,"7"
"500",3.61573837506387,-2.46339962404163,204.198058252427,-2.08899778876676,84.5320388349514,-34.5936600351325,11.8521225966115,40.1471084399149,40.8659417475728,60.0922203166979,122.491955617198,24.8364433683756,73.5736699029126,-1.88830733701606,73.5736699029126,43.9507505619751,121.991678224688,-21.0040294042181,97.5190389995063,-76.967395078675,97.5190389995063,21.7296628510769,272.270768510937,-25.1724159051994,265.059251856082,0.179254490412376,265.059251856082,-32.5363404168659,206,452.640776699029,452.640776699029,452.640776699029,-35.5922330097087,-35.5922330097087,-35.5922330097087,-11.3058252427184,-11.3058252427184,-11.3058252427184,-22.995145631068,-1.29126213592233,-103.669902912621,510.495145631068,81.4077669902913,"Less than 25000",11703,"1"
"501",131.343540669857,-79.8247342349535,0,-43.0046921252918,4.39999999999998,-3.95350954569248,12.1751729055259,-0.529894465579062,16.3694545454545,50.9549093229795,62.6826493506493,50.5845892331628,43.4356363636364,53.2324479827786,73.2509090909091,-42.4479864096519,38.0089350649351,-79.2930109456085,43.2075685670262,69.6089622628986,73.0228412942989,35.0461245085666,31.685730558598,-60.202993936375,83.9607593582888,-1.10332448243486,54.1454866310161,30.9679112615108,275,-74.6436363636364,-0.105454545454545,-148.821818181818,-96.8327272727273,-171.370909090909,-245.549090909091,-12.1127272727273,-86.6509090909091,-160.829090909091,-84.2363636363636,-0.483636363636364,-304,0,400.727272727273,"120000 to 150000",11704,"8"
"502",160.491055224268,10.7726496055329,0,51.5387454397957,0,35.2168617315521,11.49178016034,-61.9917754169639,13.6994679802955,29.8087183508156,61.45960591133,-75.7679372030045,42.7482167487685,-55.254805448158,73.1462463054187,-0.244393619475503,33.4325123152709,-1.83684844776576,39.1667696418135,41.9747348351671,69.5647991984637,16.3587852404132,51.856822363345,-7.7431452609041,105.250231816865,-42.6937761094343,74.8522022602144,13.2089666773826,203,-22.8768472906404,53.1182266009852,-98.3940886699507,-105.477832512315,-181.472906403941,-256.990147783251,-12.3743842364532,-88.3694581280788,-163.886699507389,-90.9113300492611,-2.19211822660099,-315,0,473.5960591133,"150000 to 200000",11704,"9"
