"","cx_best","cy_best","cy_best_sub","cx_avg","cy_avg","cy_avg_sub","cx_worst","cy_worst","cy_worst_sub","income_group_level","PUMA10","netBest","netAvg","netWorst","count"
"1",599.843137254902,20.5816231667995,-10.0536345094442,577.627450980392,-17.9938954669496,-9.69277754426003,476.196078431373,-18.5007519572973,-9.69277754426003,"$10,000 to $14,999",10100,599.84,577.63,476.2,51
"2",513.329268292683,-15.5093324631453,-3.389463737607,490.268292682927,-13.4194919471879,3.42244502902031,385.109756097561,-13.99954922469,3.42244502902031,"$15,000 to $19,999",10100,513.33,490.27,385.11,82
"3",309.078313253012,-10.9539239237951,-13.2592990398407,286.644578313253,-12.9566985789446,-9.20226536046337,184.572289156627,-9.94953425431582,-8.26345358788967,"$20,000 to $29,999",10100,309.08,286.64,184.57,166
"4",283.575757575758,4.61358605953794,-8.56751648576486,260.30303030303,-7.0349482446909,-4.38681729137897,154.252525252525,-9.74889610367603,-4.38681729137897,"$30,000 to $39,999",10100,283.58,260.3,154.25,198
"5",117.962162162162,13.6495199055539,8.11423736810684,93.7783783783784,-6.77094194020303,7.00549526512623,-16.3513513513513,-7.98614202439785,8.44382179384762,"$40,000 to $49,999",10100,117.96,93.78,-16.35,185
"6",423.547619047619,22.603504166007,5.23728527128696,399.619047619048,20.6587715595961,-8.51371458172798,290.190476190476,20.6587715595961,-8.51371458172798,"$5,000 to $9,999",10100,423.55,399.62,290.19,42
"7",86.4302325581396,-44.1601655804997,4.14184929430485,62.7348837209302,-64.6638585206676,-2.3624585887187,-45.1697674418605,-1.43529675809401,-4.16037382185459,"$50,000 to $69,999",10100,86.43,62.73,-45.17,430
"8",31.140655105973,-31.4829100491957,-11.9686307484886,6.66088631984584,21.6847239207141,8.67307849629132,-104.832369942197,-61.1362731244535,10.9026209115982,"$70,000 or More",10100,31.14,6.66,-104.83,1038
"9",2.30769230769232,23.4464558213949,7.22196741402149,-21.8205128205128,-55.75470545608,5.90805442631245,-132.025641025641,-62.3623628139634,5.90805442631245,"Less than $5,000",10100,2.31,-21.82,-132.03,39
"10",522.07476635514,-12.7595285177231,-0.473019793629646,478.345794392523,-12.0465680360794,-1.77701103687286,395.280373831776,-12.9486013703734,-1.77701103687286,"$10,000 to $14,999",10200,522.07,478.35,395.28,107
"11",404.664122137405,-10.5188293128784,1.30517084271523,356.18320610687,-10.3926186561584,-1.29050916433334,263.916030534351,-11.9849662949088,-1.29050916433334,"$15,000 to $19,999",10200,404.66,356.18,263.92,131
"12",331.431034482759,4.10692762896765,-0.332287549972534,286.534482758621,2.19547560174415,-1.31970265003683,201.091954022988,3.51363988220692,-0.916985154151917,"$20,000 to $29,999",10200,331.43,286.53,201.09,348
"13",255.832997987928,-3.05373677799975,0.418151721358299,210.088531187123,-1.83757632894938,-0.399675140400134,123.1046277666,-8.23070161796393,1.43981001370234,"$30,000 to $39,999",10200,255.83,210.09,123.1,497
"14",110.900423728814,-12.3339695715525,0.819291561841965,64.1059322033898,-36.7936021135201,-0.212145924568176,-24.9512711864407,5.44348679919652,2.2083035972356,"$40,000 to $49,999",10200,110.9,64.11,-24.95,472
"15",407.864197530864,14.4558763056724,0.721950758776316,360.543209876543,14.4259374439716,0.353989109396935,270.493827160494,14.4259374439716,0.353989109396935,"$5,000 to $9,999",10200,407.86,360.54,270.49,81
"16",32.6153846153846,73.6774528275319,0.0802840888500214,-13.7149321266968,58.9269790967589,5.9351807636594,-101.845022624434,51.3742148443707,-0.466186553239822,"$50,000 to $69,999",10200,32.62,-13.71,-101.85,884
"17",60.6520833333333,73.9831519359772,1.2548815759226,12.9295833333333,72.4245704201581,-19.1529703524237,-77.8275,-31.229016392948,6.99066202747986,"$70,000 or More",10200,60.65,12.93,-77.83,2400
"18",-0.785714285714306,15.0986732542515,0.0563107877969742,-45.2619047619048,44.3992104698365,0.288322106003761,-129.845238095238,-79.980647882634,0.288322106003761,"Less than $5,000",10200,-0.79,-45.26,-129.85,84
"19",642.59375,18.2347092032433,7.77601017057896,626.75,-16.6325585246086,-7.72628958523273,582.390625,-16.5819382495533,-7.72628958523273,"$10,000 to $14,999",10300,642.59,626.75,582.39,64
"20",656.767441860465,-15.0013855844736,2.89157603681087,639.744186046512,13.9478576630354,-3.16893202066422,592.011627906977,12.2346103685094,-2.42103995172354,"$15,000 to $19,999",10300,656.77,639.74,592.01,86
"21",436.704724409449,-8.90136406065898,3.96004033088684,419.551181102362,-5.56005059182644,-3.08214315772057,371.700787401575,-4.0333891467636,-2.36405348724495,"$20,000 to $29,999",10300,436.7,419.55,371.7,254
"22",387.142335766423,-5.5862435400486,-3.81593134999275,368.478102189781,-4.78935400280218,0.993673637509346,316.642335766423,-3.35635674076634,0.993673637509346,"$30,000 to $39,999",10300,387.14,368.48,316.64,274
"23",209.894308943089,-10.2885159531178,-2.01920188963413,189.29674796748,-9.88682491124781,4.87252395524095,132.272357723577,-5.76566215935213,2.70950464904308,"$40,000 to $49,999",10300,209.89,189.3,132.27,246
"24",432.905660377359,-20.3337159603834,-2.86336009204388,415.88679245283,-18.3872307687998,-6.34602059423923,368.415094339623,-18.3872307687998,-6.34602059423923,"$5,000 to $9,999",10300,432.91,415.89,368.42,53
"25",133.502212389381,5.25299356843074,-2.48262511193752,112.995575221239,4.34682116873567,-1.66015380620956,56.3517699115044,-30.0741939957929,-1.66015380620956,"$50,000 to $69,999",10300,133.5,113,56.35,452
