"","cx_low","cy_low","cx_high","cy_high","MONEYPY","BEDROOMS","UR","KOWNRENT","TaxLow","TaxHigh","NWEIGHT","income_group_level"
"1",23.9012472670187,-17.6182728774969,302.568767692246,28.6566124027092,"$20,000 to $24,999",2,"Rural","Occupied without payment",3.25,144.11,19110.730469,"7"
"2",11.9601240460796,-8.63759913632673,170.963824615263,-45.6439600490578,"$25,000 to $29,999",3,"Rural","Occupied without payment",1.63,81.43,15578.37355,"8"
"3",21.1795393275781,-20.1399224873724,302.750626421723,-43.8910077737594,"$45,000 to $49,999",5,"Rural","Occupied without payment",2.88,144.2,7757.701336,"12"
"4",21.1067438408983,72.2756065101831,238.493774262688,29.9620648900025,"Less than $2,500",3,"Urban","Occupied without payment",2.87,113.59,11795.05168,"1"
"5",30.3960170862849,4.9430840543906,434.495437850039,-25.0916079431772,"$50,000 to $54,999",3,"Urban","Occupied without payment",4.14,206.95,9263.2658,"13"
"6",20.1834437084573,25.8968451311975,185.207302053694,-25.9143798171517,"$55,000 to $59,999",3,"Urban","Occupied without payment",2.75,88.21,9131.566701,"14"
"7",46.9925618710001,44.9135877133323,612.442970938361,24.0812296122313,"$65,000 to $69,999",5,"Urban","Occupied without payment",6.4,291.71,10270.16067,"16"
"8",15.5130578625437,21.264115362087,221.751186981015,-48.6761688010245,"$35,000 to $39,999",1,"Rural","Owned",2.11,105.62,8138.720462,"10"
"9",31.2743364009792,79.7939460261272,447.050560915239,-14.0592164320869,"Less than $2,500",2,"Rural","Owned",4.26,212.93,18770.15615,"1"
"10",17.9823951133028,20.9193372370429,255.644757329632,-51.512583047478,"$15,000 to $19,999",2,"Rural","Owned",2.45,121.76,22840.706656,"6"
"11",19.7093091703724,-6.88196538385928,281.734442160409,-62.7154105510459,"$25,000 to $29,999",2,"Rural","Owned",2.68,134.19,7757.697801,"8"
"12",7.11578177234979,-4.84698172604831,48.4521724611922,-18.4228786379099,"$35,000 to $39,999",2,"Rural","Owned",0.97,23.08,11936.68335,"10"
"13",803.535308679714,17.0438829213381,805.044818135952,17.0438829213381,"$45,000 to $49,999",2,"Rural","Owned",109.42,364.3,13046.40491,"12"
"14",21.1942269415362,-19.65335773228,302.960578312446,39.4455969766726,"$60,000 to $64,999",2,"Rural","Owned",2.89,144.3,13687.18462,"15"
"15",22.0049832320232,41.2451268147798,314.549922680323,30.4749244749546,"$95,000 to $99,999",2,"Rural","Owned",3,149.82,7757.697801,"22"
"16",34.1428274069959,12.0443423743681,488.054165173327,-25.2807910144329,"Less than $2,500",3,"Rural","Owned",4.65,232.46,9263.264735,"1"
